  id   | timestamp  | publishedat |                                                           title                                                            |                                                                                                                                                                                                                                                                                                                                                                  summary                                                                                                                                                                                                                                                                                                                                                                  |                                                                                               url                                                                                                |                                                                               urlToImage                                                                                | feedback |     entity     | score 
-------+------------+-------------+----------------------------------------------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+----------------+-------
 25554 | 2019-10-31 | 2019-10-31  | La matriz de Iberia gana un 27% menos por las huelgas                                                                      | Además, el grupo aéreo también se ha visto afectado por el incremento del crudo, que provocó que la factura por combustible aumentara en 136 millones de euros durante el último trimestre, con un aumento de los costes unitarios de combustible del 4,2% a tipos de cambio constantes.                                                                                                                                                                                                                                                                                                                                                                                                                                                 +| https://www.abc.es/economia/abci-matriz-iberia-gana-27-por-ciento-menos-huelgas-201910310915_noticia.html                                                                                        | https://static1.abc.es/media/economia/2019/10/31/iag-walsh-iberia-kTEH--1024x512@abc.jpg                                                                                |        0 | IBERIA         | 0.882
       |            |             |                                                                                                                            | La deuda, por su parte, cosecha una caída del 4% y se establece en los 6,179 millones de euros.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                                                                                                                                                                                                  |                                                                                                                                                                         |          |                | 
 25555 | 2019-10-31 | 2019-10-31  | CaixaBank gana un 28,4% menos debido a su ERE                                                                              | En cuanto a la evolución del negocio bancario en estos nueve primeros meses, desataca la evolución de los ingresos básicos -core-, que representan un 94% del total y que logran en el trimestre su nivel más alto en la historia de CaixaBank por la buena evolución de la actividad comercial, alcanzando los 6.021 millones de euros en el año, un 2,9% más respecto al trimestre anterior.                                                                                                                                                                                                                                                                                                                                           +| https://cronicaglobal.elespanol.com/business/caixabank-gana-284-impacto-ere_288419_102.html                                                                                                      | https://cronicaglobal.elespanol.com/uploads/s1/71/80/14/5/europapress-1654699-caixabank-y-securitas-direct-lanzan-un-servicio-de-seguridad-para-mayores_12_658x347.jpeg |        0 | REPSOL         | 0.873
       |            |             |                                                                                                                            | Además, los gastos recurrentes descienden 1,3% en el trimestre tras las salidas indemnizadas de adhesión voluntaria, y el margen de intereses acumulado a septiembre, que refleja la evolución del negocio típicamente bancario, asciende a 3.720 millones, un 1,3% más respecto al mismo periodo de 2018, impactado principalmente por el incremento del volumen del crédito y los menores costes de financiación retail e institucional.                                                                                                                                                                                                                                                                                               +|                                                                                                                                                                                                  |                                                                                                                                                                         |          |                | 
       |            |             |                                                                                                                            | La ratio de morosidad se reduce hasta el 4,1% (-61 puntos básicos en 2019), y los saldos dudosos descienden 1.242 millones en 2019 (-449 millones de euros en el trimestre), situándose en 9.953 millones.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               +|                                                                                                                                                                                                  |                                                                                                                                                                         |          |                | 
       |            |             |                                                                                                                            | Los activos líquidos totales se sitúan en 89.442 millones a 30 de septiembre de 2019, con un crecimiento de 9.912 millones en el año debido a la evolución positiva del gap comercial y a un volumen de nuevas emisiones superior a los vencimientos.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |                                                                                                                                                                                                  |                                                                                                                                                                         |          |                | 
 25556 | 2019-10-31 | 2019-10-31  | Los costes del ERE lastran el beneficio de CaixaBank hasta los 1.266 millones                                              | En cuanto a la evolución del negocio bancario en estos nueve primeros meses, desataca la evolución de los ingresos básicos -core-, que representan un 94% del total y que logran en el trimestre su nivel más alto en la historia de CaixaBank por la buena evolución de la actividad comercial, alcanzando los 6.021 millones de euros en el año, un 2,9% más respecto al trimestre anterior.                                                                                                                                                                                                                                                                                                                                           +| https://www.libremercado.com/2019-10-31/los-costes-del-ere-lastran-el-beneficio-de-caixabank-hasta-los-1266-millones-1276647191/                                                                 | https://s.libertaddigital.com/2019/04/15/476/279/902x833/caixabank-gortazar-gual.jpg                                                                                    |        0 | REPSOL         | 0.870
       |            |             |                                                                                                                            | Además, los gastos recurrentes descienden 1,3% en el trimestre tras las salidas indemnizadas de adhesión voluntaria, y el margen de intereses acumulado a septiembre, que refleja la evolución del negocio típicamente bancario, asciende a 3.720 millones, un 1,3% más respecto al mismo periodo de 2018, impactado principalmente por el incremento del volumen del crédito y los menores costes de financiación retail e institucional.                                                                                                                                                                                                                                                                                               +|                                                                                                                                                                                                  |                                                                                                                                                                         |          |                | 
       |            |             |                                                                                                                            | Los activos líquidos totales se sitúan en 89.442 millones a 30 de septiembre de 2019, con un crecimiento de 9.912 millones en el año debido a la evolución positiva del gap comercial y a un volumen de nuevas emisiones superior a los vencimientos.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |                                                                                                                                                                                                  |                                                                                                                                                                         |          |                | 
 25557 | 2019-10-31 | 2019-10-30  | Naturgy gana 901 millones hasta septiembre y acelera su inversión en renovables                                            | La evolución de los negocios fuera de España y la mejora en las operaciones impulsó el crecimiento hasta septiembre, según Naturgy, que resalta que de enero a septiembre invirtió unos 400 millones de euros en renovables, la mayor cifra de su historia.                                                                                                                                                                                                                                                                                                                                                                                                                                                                              +| https://www.elmundo.es/economia/empresas/2019/10/30/5db95069fdddffa4868b45d2.html                                                                                                                | https://e00-elmundo.uecdn.es/assets/multimedia/imagenes/2019/10/30/15724258039587.jpg                                                                                   |        0 | NATURGY        | 0.866
       |            |             |                                                                                                                            | Naturgy precisa que, en términos ordinarios, el beneficio se situó en los 991 millones hasta septiembre, un 13% más, y el Ebitda creció un 4,6 %, hasta los 3.397 millones, superando así las previsiones de los analistas, subraya la multinacional.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |                                                                                                                                                                                                  |                                                                                                                                                                         |          |                | 
 25558 | 2019-10-31 | 2019-10-31  | Iberdrola logra un contrato de suministro de energía 'verde' con Adif por 20,7 millones                                    | Iberdrolase ha adjudicado un contrato de suministro de energía eléctrica de origen renovable con Adif para los dos próximos años, los ejercicios 2020 y 2021, por un importe de 20,7 millones de euros, según informó Adif.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | https://www.meneame.net/m/actualidad/iberdrola-logra-contrato-suministro-energia-verde-adif-20-7                                                                                                 | https://www.meneame.net/backend/media?type=link&id=3204657&version=0&ts=1572507307&image.jpeg                                                                           |        0 | IBERDROLA      | 0.860
 25559 | 2019-10-31 | 2019-10-31  | Enel Green Power España conecta el parque eólico de mayor potencia de los que se construyen en Aragón                      | Enel Green Power España (EGPE), la filial de energías renovables de Endesa, ha conectado a la red la nueva planta eólica de Sierra Costera I, de 50 megavatios (MW), la mayor de las que se están construyendo en Aragón.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                +| https://www.eleconomista.es/aragon/noticias/10171231/10/19/Enel-Green-Power-Espana-conecta-el-parque-eolico-de-mayor-potencia-de-los-que-se-construyen-en-Aragon.html                            | https://s03.s3c.es/imag/_v0/720x405/d/f/e/rrss_enel.jpg                                                                                                                 |        0 | ENDESA         | 0.856
       |            |             |                                                                                                                            | La compañía ha explicado en una nota de prensa que Sierra Costera I es la primera instalación eólica en entrar en servicio de los 540 MW de potencia eólica adjudicados a EGPE en la subasta renovable celebrada por el Gobierno español en mayo de 2017.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                +|                                                                                                                                                                                                  |                                                                                                                                                                         |          |                | 
       |            |             |                                                                                                                            | La construcción de esta capacidad renovable supondrá una inversión de más de 800 millones de euros hasta 2020 y aumentará la capacidad eólica y solar actual de Endesa en un 52,4 por ciento.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            +|                                                                                                                                                                                                  |                                                                                                                                                                         |          |                | 
       |            |             |                                                                                                                            | Es un líder global en el sector de energía verde con una capacidad gestionada de unos 43 GW en una combinación de generación que incluye eólica, solar, geotérmica e hidroeléctrica, y está a la vanguardia de la integración de tecnologías innovadoras en plantas de energía renovables.                                                                                                                                                                                                                                                                                                                                                                                                                                                |                                                                                                                                                                                                  |                                                                                                                                                                         |          |                | 
 25560 | 2019-10-31 | 2019-10-30  | Industria privada choca con la 4T por regulación de energías limpias                                                       | La industria eléctrica privada chocó con la política energética del presidente Andrés Manuel López Obrador tras un cambio regulatorio que transformará el rumbo de las energías limpias en México.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       +| https://www.forbes.com.mx/industria-privada-choca-con-la-4t-por-regulacion-de-energias-limpias/                                                                                                  | https://cdn.forbes.com.mx/2019/10/CFE-Bartlett-nahle.jpg                                                                                                                |        0 | SENER          | 0.856
       |            |             |                                                                                                                            | La dependencia encargada de la política energética justificó su decisión ante una supuesta “especulación comercial” sobre dichos certificados, pues los precios de la electricidad producida con energías limpias aumentaron, y por lo tanto, las tarifas eléctricas para los usuarios finales también, según el acuerdo publicado en el Diario Oficial de la Federación (DOF).                                                                                                                                                                                                                                                                                                                                                          +|                                                                                                                                                                                                  |                                                                                                                                                                         |          |                | 
       |            |             |                                                                                                                            | La electricidad que proviene de fuentes limpias para CFE Suministro Básico fue 63% más económica que la energía que la empresa estatal adquiere en el Mercado Eléctrico Mayorista (MEM) —incluyendo el costo de los CELs— y más barata que aquella que proviene de los contratos legados con CFE Generación en 37%, según datos publicados por la Comisión Reguladora de Energía (CRE) en la Memoria de cálculo de tarifas, citados por las asociaciones eléctricas de empresas privadas.                                                                                                                                                                                                                                                 |                                                                                                                                                                                                  |                                                                                                                                                                         |          |                | 
 25561 | 2019-10-31 | 2019-10-30  | Ferrovial pierde 104 millones por provisiones en obras                                                                     | En los primeros nueve meses del año perdió 104 millones por el impacto de una provisión de 345 realizada en el área de construcción por posibles pérdidas en proyectos de Estados Unidos, según ha notificado la empresa este miércoles a la CNMV.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       +| https://www.abc.es/economia/abci-ferrovial-pierde-104-millones-nuevas-provisiones-area-construccion-201910301852_noticia.html                                                                    | https://static2.abc.es/media/economia/2019/10/30/ferrovial-kIrD--1024x512@abc.jpg                                                                                       |        0 | FERROVIAL      | 0.844
